,Unnamed: 0,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Types
2493,2518,Les Vignes de Saint Laurent l'Abbaye Pouilly-Fumé 2017,France,Pouilly-Fumé,Domaine Chatelain,3.9,40,13.6,2017.0,White
2494,2519,Meursault 1er Cru Les Genevrières 2015,France,Meursault Premier Cru,Domaine Henri Boillot,4.2,40,119.0,2015.0,White
2495,2520,Les Chailloux Silex Pouilly-Fumé 2018,France,Pouilly-Fumé,Domaine Chatelain,3.8,40,14.55,2018.0,White
2496,2521,Genèse Riesling 2011,France,Alsace,Vignoble des 2 Lunes,4.0,40,14.57,2011.0,White
2497,2522,Terroir d'Altitude Chardonnay 2017,France,Pays d'Oc,Fortant,3.9,40,9.5,2017.0,White
2498,2523,Saint-Véran 2018,France,Saint-Véran,Trénel,3.8,40,14.95,2018.0,White
2499,2524,Petit Chablis 2018,France,Petit Chablis,Domaine Philippe Goulley,3.6,41,17.2,2018.0,White
2500,2525,Chardonnay 2018,France,Pays d'Oc,Cap Cette,3.3,41,7.5,2018.0,White
2501,2526,La Soufrandiére Le Clos de Grand Pére Macon-Vinzelles 2017,France,Mâcon-Vinzelles,Bret Brothers & The Soufrandière,4.1,41,27.5,2017.0,White
2502,2527,Pouilly-Fumé Terres Blanches 2018,France,Pouilly-Fumé,Pascal Jolivet,3.8,41,26.18,2018.0,White
2503,2528,Domaine Sainte Barbe Les Tilles Mâcon-Villages 2018,France,Mâcon-Villages,Chaland Jean-Marie,3.6,41,14.5,2018.0,White
2504,2529,Montagny 1er Cru 'Les Saint Morilles' 2015,France,Montagny 1er Cru 'Saint-Morille',Berthenet,3.7,41,19.37,2015.0,White
2505,2530,Sancerre Blanc 2017,France,Sancerre,Langlois-Chateau,3.7,41,10.0,2017.0,White
2506,2531,Vieilles Vignes Châteauneuf-du-Pape Blanc 2015,France,Châteauneuf-du-Pape,Château de Beaucastel,4.4,41,154.99,2015.0,White
2507,2532,Estate Gewürztraminer 2013,France,Alsace Grand Cru,Hugel,4.0,41,20.47,2013.0,White
2508,2533,Pinot Blanc Tradition 2018,France,Alsace,Emile Beyer,4.0,42,11.49,2018.0,White
2509,2534,Leflaive & Associes Auxey-Duresses 2016,France,Auxey-Duresses,Domaine Leflaive,3.9,42,49.9,2016.0,White
2510,2535,Lou Coucardié Blanc 2015,France,Costières-de-Nîmes,Michel Gassier,4.0,42,23.05,2015.0,White
2511,2536,La Femme Soleil 2018,France,Languedoc-Roussillon,Domaine Hors Champ,3.4,42,21.45,2018.0,White
2512,2537,Meursault Premier Cru 'Les Charmes' 2017,France,Meursault 1er Cru 'Charmes',Domaine du Pavillon,4.2,42,70.0,2017.0,White
2513,2538,Picpoul de Pinet 2019,France,Picpoul de Pinet,Domaine de Belle Mare,3.9,43,6.73,2019.0,White
2514,2539,Corton-Charlemagne Grand Cru Blanc 2016,France,Corton-Charlemagne Grand Cru,Bouchard Père & Fils,4.5,43,178.96,2016.0,White
2515,2540,Chablis 2018,France,Chablis,Domaine Philippe Goulley,3.8,43,19.95,2018.0,White
2516,2541,Muscadet-Sèvre et Maine Sur Lie 2019,France,Muscadet-Sevre et Maine,Pépière,3.6,43,9.36,2019.0,White
2517,2542,Riesling Alsace Grand Cru 'Sommerberg' 2016,France,Alsace Grand Cru 'Sommerberg',Albert Boxler,4.0,43,53.22,2016.0,White
2518,2543,Riesling Alsace 2015,France,Alsace,Kuehn,3.6,43,8.48,2015.0,White
2519,2544,Puligny-Montrachet 2017,France,Puligny-Montrachet,Domaine Henri Boillot,4.3,43,59.9,2017.0,White
2520,2545,Pinot Gris Tradition 2017,France,Alsace,Emile Beyer,3.8,43,13.2,2017.0,White
2521,2546,Hermitage Le Chevalier de Sterimberg 2016,France,Hermitage,Paul Jaboulet Aîné,4.2,43,78.75,2016.0,White
2522,2547,Corton-Charlemagne Grand Cru 2016,France,Corton-Charlemagne Grand Cru,Domaine Henri Boillot,4.5,43,189.0,2016.0,White
2523,2548,Sancerre Blanc 2018,France,Sancerre,Michel Thomas & Fils,3.7,43,18.08,2018.0,White
2524,2549,Meursault-Charmes Premier Cru 2016,France,Meursault 1er Cru 'Charmes',Domaine Jean Monnier & Fils,3.8,43,86.62,2016.0,White
2525,2550,Pouilly-Fumé 2016,France,Pouilly-Fumé,Langlois-Chateau,3.7,44,21.66,2016.0,White
2526,2551,Mâcon-Villages 2016,France,Mâcon-Villages,Daniel Pollier,3.6,44,9.54,2016.0,White
2527,2552,Chablis 2018,France,Chablis,Joseph Drouhin,3.6,44,19.3,2018.0,White
2528,2553,Château-Thébaud 2014,France,Muscadet-Sevre et Maine,Pépière,4.0,44,17.06,2014.0,White
2529,2554,Riesling Alsace Grand Cru 'Kitterlé' 2017,France,Alsace Grand Cru 'Kitterle',Domaines Schlumberger,3.9,44,25.24,2017.0,White
2530,2555,Côte de Rouffach Gewürztraminer 2016,France,Alsace,René Muré,3.9,44,15.5,2016.0,White
2531,2556,Classic Graves Blanc 2016,France,Graves,Château Brondelle,3.6,44,11.95,2016.0,White
2532,2557,Les Menétrieres Pouilly-Fuissé (Cuvée Hors-Classe) 2016,France,Pouilly-Fuissé,J.A. Ferret,4.4,44,63.06,2016.0,White
2533,2558,Ermitage de l'Orée 2004,France,Hermitage,M. Chapoutier,4.8,44,189.95,2004.0,White
2534,2559,Signature Blanc 2019,France,Côtes de Gascogne,Domaine Saint-Lannes,3.7,44,5.95,2019.0,White
2535,2560,Châteauneuf-du-Pape La Bernardine Blanc 2016,France,Châteauneuf-du-Pape,M. Chapoutier,3.6,44,33.46,2016.0,White
2536,2561,Les Vieilles Vignes Meursault 2016,France,Meursault,Vincent Girardin,4.0,44,70.3,2016.0,White
2537,2562,Corton-Charlemagne Grand Cru 2016,France,Corton-Charlemagne Grand Cru,Joseph Drouhin,4.3,45,195.0,2016.0,White
2538,2563,Sauvignon Blanc Bordeaux 2010,France,Bordeaux,Dourthe N°1,3.0,45,8.95,2010.0,White
2539,2564,Domaine de Fontenille Pouilly-Fumé 2018,France,Pouilly-Fumé,Patrick Maudry,3.9,45,18.97,2018.0,White
2540,2565,Les Deux Tours Sauvignon Blanc 2018,France,Loire Valley,de Ladoucette,4.0,46,15.3,2018.0,White
2541,2566,Classic Riesling 2018,France,Alsace,Hugel,3.7,46,14.75,2018.0,White
2542,2567,La Falaise Languedoc Blanc 2016,France,Languedoc,Château la Négly,4.1,46,19.01,2016.0,White
2543,2568,Bordeaux Blanc 2016,France,Bordeaux,Château de Ricaud,3.4,46,7.44,2016.0,White
2544,2569,Riesling Alsace 2016,France,Alsace,Kuehn,3.7,46,8.48,2016.0,White
2545,2570,Corton-Charlemagne Grand Cru 2016,France,Corton-Charlemagne Grand Cru,Domaine des Héritiers Louis Jadot,4.4,47,189.39,2016.0,White
2546,2571,Chardonnay 2018,France,Pays d'Oc,Croix d'Or,3.8,47,6.9,2018.0,White
2547,2572,Châteauneuf-du-Pape Vieilles Vignes Blanc 2006,France,Châteauneuf-du-Pape,Tardieu-Laurent,4.2,47,46.95,2006.0,White
2548,2573,Chablis Vieilles Vignes 2017,France,Chablis,Château de Chemilly,4.0,47,16.5,2017.0,White
2549,2574,Bourgogne Hautes-Côtes de Beaune Chardonnay 2018,France,Bourgogne Hautes-Côtes de Beaune,Domaine Henri Delagrange et Fils,3.4,47,16.83,2018.0,White
2550,2575,Chassagne-Montrachet 1er Cru 'Cailleret' 2012,France,Chassagne-Montrachet 1er Cru 'Cailleret',Jean-Marc Morey,4.0,47,86.62,2012.0,White
2551,2576,Mâcon-Verzé 2018,France,Mâcon-Villages,Domaine Leflaive,4.1,47,31.9,2018.0,White
2552,2577,La Galopine Condrieu 2017,France,Condrieu,Delas,4.1,48,44.75,2017.0,White
2553,2578,Le G de Guiraud Bordeaux Blanc Sec 2019,France,Bordeaux,Château Guiraud,4.0,48,14.52,2019.0,White
2554,2579,Les Côtes aux Valets Sancerre Blanc 2015,France,Sancerre,Henri Bourgeois,4.2,48,50.69,2015.0,White
2555,2580,Pouilly-Fuissé Vielles Vignes 2016,France,Pouilly-Fuissé,Daniel Pollier,3.7,48,16.08,2016.0,White
2556,2581,Grand Marrenon Blanc 2018,France,Luberon,Marrenon,3.5,48,11.5,2018.0,White
2557,2582,Sauvignon 2018,France,Bordeaux,Le Petit Baigneur,3.4,49,6.49,2018.0,White
2558,2583,Riesling 2015,France,Alsace,Albert Boxler,4.0,49,25.44,2015.0,White
2559,2584,Meursault 'Les Narvaux' 2017,France,Meursault,David Moret-Nomine,4.2,49,63.9,2017.0,White
2560,2585,Luberon 2019,France,Luberon,Famille Perrin,3.6,49,5.71,2019.0,White
2561,2586,Montserre Chablis 2017,France,Chablis,Château de Béru,4.2,49,35.0,2017.0,White
2562,2587,Les Grands Calcaires Cotes du Rhône 2017,France,Côtes-du-Rhône,Domaine Santa Duc,3.6,49,9.2,2017.0,White
2563,2588,Meursault-Charmes Premier Cru 2015,France,Meursault 1er Cru 'Charmes',Domaine Jean Monnier & Fils,4.2,49,90.2,2015.0,White
2564,2589,Chablis Grand Cru 'Les Preuses' 2015,France,Chablis Grand Cru 'Preuses',Domaine William Fèvre,4.1,49,97.81,2015.0,White
2565,2590,Vieilles Vignes Chablis 2013,France,Chablis,Roland Lavantureux,3.9,49,52.0,2013.0,White
2566,2591,Les Cépages Sauvignon Blanc 2018,France,Pays d'Oc,Baron Philippe de Rothschild,3.1,50,7.75,2018.0,White
